scene,sound ID,actor,dialog
ferry,lib/ferry_voice.swf:ferry_067,nathan,"Nothing! Sorry!"
ferry,lib/ferry_voice.swf:ferry_068,nathan,"Excuse me..."
ferry,lib/ferry_voice.swf:ferry_069,nathan,"I don't think so."
ferry,lib/ferry_voice.swf:ferry_073,nathan,"How did Nora get here?"
ferry,lib/ferry_voice.swf:ferry_074,sailor,"Her grandfather brought her and told me to wait for him."
ferry,lib/ferry_voice.swf:ferry_075,nathan,"Her grandfather? What did he look like?"
ferry,lib/ferry_voice.swf:ferry_076,sailor,"Well, he looks a little bit like the first Doctor Who."
ferry,lib/ferry_voice.swf:ferry_077,nathan,"Who?"
ferry,lib/ferry_voice.swf:ferry_078,sailor,"Aye! Just like him."
ferry,lib/ferry_voice.swf:ferry_079,nathan,"I'm confused."
ferry,lib/ferry_voice.swf:ferry_081,nathan,"Okay."
ferry,lib/ferry_voice.swf:ferry_082,nathan,"It's an old glove."
ferry,lib/ferry_voice.swf:ferry_083,nathan,"Ok."
ferry,lib/ferry_voice.swf:ferry_084,nathan,"The crab is living in an old glove."
ferry,lib/ferry_voice.swf:ferry_085,nathan,"Nature never fails to impress me."
ferry,lib/ferry_voice.swf:ferry_086,nathan,"Hey ... nice weather, hu?"
ferry,lib/ferry_voice.swf:ferry_087,crab,"......."
ferry,lib/ferry_voice.swf:ferry_088,nathan,"It seems he's not interested in small talk."
ferry,lib/ferry_voice.swf:ferry_089,nathan,"It seems that he doesn't want to leave the glove."
ferry,lib/ferry_voice.swf:ferry_090,nathan,"Maybe I could persuade him to move out somehow..."
ferry,lib/ferry_voice.swf:ferry_091,nathan,"Good idea, but the can is closed and full of Dr. Pepper."
ferry,lib/ferry_voice.swf:ferry_092,nathan,"Good idea, but the can is full of Dr. Pepper."
ferry,lib/ferry_voice.swf:ferry_093,nathan,"Well, maybe I could give away an empty can."
ferry,lib/ferry_voice.swf:ferry_094,nathan,"Let's see ..."
ferry,lib/ferry_voice.swf:ferry_095,nathan,"Now the crab is living comfortably in a Dr. Pepper can."
ferry,lib/ferry_voice.swf:ferry_096,nathan,"He has a good taste."
ferry,lib/ferry_voice.swf:ferry_100,nathan,"No. He's had more than enough adventures for one day."
ferry,lib/ferry_voice.swf:ferry_101,nathan,"It seems she's not feeling well."
ferry,lib/ferry_voice.swf:ferry_102,nathan,"Nora, may I ask you something?"
ferry,lib/ferry_voice.swf:ferry_103,nora,"Not right now please, Nathan."
ferry,lib/ferry_voice.swf:ferry_104,nathan,"Sorry."
ferry,lib/ferry_voice.swf:ferry_105,nathan,"That wouldn't be nice."
ferry,lib/ferry_voice.swf:ferry_106,nathan,"These boxes contain unmarked bottles."
ferry,lib/ferry_voice.swf:ferry_107,nathan,"It smells like strong whiskey."
ferry,lib/ferry_voice.swf:ferry_108,nathan,"I'll take one."
ferry,lib/ferry_voice.swf:ferry_109,sailor,"No, you won't."
ferry,lib/ferry_voice.swf:ferry_111,nathan,"Right, I won't."
ferry,lib/ferry_voice.swf:ferry_112,nathan,"Well, he said I can have one..."
ferry,lib/ferry_voice.swf:ferry_113,nathan,"I've already taken my share."
ferry,lib/ferry_voice.swf:ferry_114,nathan,"Hi, I'm Nathan. And you are ..."
ferry,lib/ferry_voice.swf:ferry_115,sailor,"I'm Martin Munchkin McManus."
ferry,lib/ferry_voice.swf:ferry_116,nathan,"Is your name really ""Munchkin""?"
ferry,lib/ferry_voice.swf:ferry_117,sailor,"Aye."
ferry,lib/ferry_voice.swf:ferry_118,nathan,"Your parents must have liked ""The Wizard of Oz""."
ferry,lib/ferry_voice.swf:ferry_119,sailor,"I have no idea what you are talking about, kid."
ferry,lib/ferry_voice.swf:ferry_120,nathan,"Is your name really Martin ""Munchkin"" McManus?"
ferry,lib/ferry_voice.swf:ferry_124,nathan,"Is that your dog?"
ferry,lib/ferry_voice.swf:ferry_125,sailor,"Aye. T'is me mate."
ferry,lib/ferry_voice.swf:ferry_126,nathan,"What is his name?"
ferry,lib/ferry_voice.swf:ferry_127,sailor,"His name is Shroom. Right boy?"
ferry,lib/ferry_voice.swf:ferry_129,nathan,"Shroom? As in Mushroom?"
ferry,lib/ferry_voice.swf:ferry_130,sailor,"Aye. He's a mushroom searching kind of dog."
ferry,lib/ferry_voice.swf:ferry_131,nathan,"Really?! I've heard of those!"
ferry,lib/ferry_voice.swf:ferry_132,sailor,"Aye. If you show old Shroom here the name of the mushroom that you're searching for, he'll be on his feet in a second to find it for you."
ferry,lib/ferry_voice.swf:ferry_133,nathan,"He has to see it written down somewhere? That means he can read, too! Wow."
ferry,lib/ferry_voice.swf:ferry_135,nathan,"You said your dog can find mushrooms?"
ferry,lib/ferry_voice.swf:ferry_137,nathan,"Fascinating..."
ferry,lib/ferry_voice.swf:ferry_138,nathan,"I'm kind of stuck right now. Can you help?"
ferry,lib/ferry_voice.swf:ferry_139,sailor,"I've been at the shores of Africa, I've wrestled the boxers of China, and I've seen the ghost of the pirate captain Stoertebecker."
ferry,lib/ferry_voice.swf:ferry_140,sailor,"...but still the most useful ideas and hints I've ever found are in the book ""Capt'n Matt's Guide to Life""."
ferry,lib/ferry_voice.swf:ferry_141,sailor,"Here, I happen to have a copy that I could give you."
ferry,lib/ferry_voice.swf:ferry_142,nathan,"Wow, thanks! ""Capt'n Matt's Guide to Life"". This sounds good. Sometimes I need guidance."
ferry,lib/ferry_voice.swf:ferry_143,sailor,"Aye. We all do, kid."
ferry,lib/ferry_voice.swf:ferry_144,nathan,"Don't you need this book? It sounds like it's important to you."
ferry,lib/ferry_voice.swf:ferry_145,sailor,"Aye. It is, but I have about fifty more copies at home. You can keep it, boy."
ferry,lib/ferry_voice.swf:ferry_146,nathan,"So giving me this copy won't diminish your collection?"
ferry,lib/ferry_voice.swf:ferry_147,sailor,"Naw, I like to give them to strangers whenever possible. It spreads the word."
ferry,lib/ferry_voice.swf:ferry_148,nathan,"It's dark. You are standing at an old pier. Alone. With a couple of boxes containing unlabeled bottles of alcohol."
ferry,lib/ferry_voice.swf:ferry_149,nathan,"Hey! Are you doing something illegal?"
ferry,lib/ferry_voice.swf:ferry_150,sailor,"Aye aye."
ferry,lib/ferry_voice.swf:ferry_151,nathan,"May I have a bottle?"
ferry,lib/ferry_voice.swf:ferry_152,sailor,"Aye. Take one. Ten percent of the goods are meant to be used to bribe officials and those who know too much."
ferry,lib/ferry_voice.swf:ferry_154,nathan,"Aren't you afraid that I'm going to report you?"
ferry,lib/ferry_voice.swf:ferry_155,sailor,"No. You've officially been bribed."
ferry,lib/ferry_voice.swf:ferry_156,nathan,"I guess you're right. And I might need a bottle."
ferry,lib/ferry_voice.swf:ferry_157,nathan,"So you aren't afraid that I'm going to report your shady activities?"
ferry,lib/ferry_voice.swf:ferry_158,sailor,"No. I said you could take a bottle. You've been officially bribed."
ferry,lib/ferry_voice.swf:ferry_160,nathan,"Bye."
ferry,lib/ferry_voice.swf:ferry_161,nathan,"How are you?"
ferry,lib/ferry_voice.swf:ferry_163,nathan,"Do you know what time it is?"
ferry,lib/ferry_voice.swf:ferry_164,shroom,"......"
ferry,lib/ferry_voice.swf:ferry_165,nathan,"That late?"
field,lib/field_voice.swf:field_000,nathan,"It has a nice golden color."
field,lib/field_voice.swf:field_001,nathan,"I can hear crickets. I guess they live somewhere in there."
field,lib/field_voice.swf:field_002,nathan,"That's a good idea. I'll take some wheat."
field,lib/field_voice.swf:field_003,nathan,"I already have enough wheat."
field,lib/field_voice.swf:field_008,nathan,"The barrel is full of old tins and tools."
field,lib/field_voice.swf:field_009,nathan,"It's all rusty and useless."
field,lib/field_voice.swf:field_010,nathan,"Except, maybe, for that cocktail shaker on top."
field,lib/field_voice.swf:field_011,nathan,"It's a cocktail shaker, and it seems to be in good shape... unlike the rest of this scrap metal."
field,lib/field_voice.swf:field_012,nathan,"Alright."
field,lib/field_voice.swf:field_013,nathan,"Nice bench. It looks comfortable."
field,lib/field_voice.swf:field_014,nathan,"I don't want to rest now."
field,lib/field_voice.swf:field_015,nathan,"There are still mysteries to solve and plots to unfold."
field,lib/field_voice.swf:field_016,nathan,"It's a single glove."
field,lib/field_voice.swf:field_017,nathan,"Sorry, does this glove belong to you?"
field,lib/field_voice.swf:field_018,nora,"No, it was already here when I came."
field,lib/field_voice.swf:field_019,nathan,"Good. Then I'll take it."
field,lib/field_voice.swf:field_020,nora,"Why? Is it your glove?"
field,lib/field_voice.swf:field_021,nathan,"Uh ... yes?"
field,lib/field_voice.swf:field_022,nora,"Then why did you ask if it's mine?"
field,lib/field_voice.swf:field_023,nathan,"... to test your honesty?"
field,lib/field_voice.swf:field_024,nathan,"You passed the test! Congratulations."
field,lib/field_voice.swf:field_025,nathan,"I'll take the glove, okay?"
field,lib/field_voice.swf:field_026,nora,"*Sigh* Go ahead."
field,lib/field_voice.swf:field_027,nathan,"There's a scarecrow watching over this field."
field,lib/field_voice.swf:field_028,nathan,"If I were a bird, I'd be terrified."
field,lib/field_voice.swf:field_029,nathan,"It's pretty much useless... and far too big to pick up."
field,lib/field_voice.swf:field_030,nathan,"The sign says ""Path to Sea""."
field,lib/field_voice.swf:field_031,nathan,"There's some larger tools and bundles of wood. Nothing useful, I guess."
field,lib/field_voice.swf:field_032,nathan,"No, these tools are too heavy."
field,lib/field_voice.swf:field_033,nathan,"Mh ... it's a stone."
field,lib/field_voice.swf:field_034,nathan,"Hey, there's a wriggly worm under that stone!"
field,lib/field_voice.swf:field_035,nathan,"It's a worm. He's wriggling."
field,lib/field_voice.swf:field_036,nathan,"Okay. I have the worm."
field,lib/field_voice.swf:field_037,nathan,"Who's he?"
field,lib/field_voice.swf:field_038,nathan,"Excuse me..."
field,lib/field_voice.swf:field_039,nathan,"Who's she?"
field,lib/field_voice.swf:field_040,nathan,"Ahem ..."
field,lib/field_voice.swf:field_041,nathan,"That wouldn't be very nice."
field,lib/field_voice.swf:field_042,nathan,"Something seems terribly wrong with Nora ..."
field,lib/field_voice.swf:field_043,nathan,"Are you alright, Nora?"
field,lib/field_voice.swf:field_044,nora,"I ... I don't feel well ..."
field,lib/field_voice.swf:field_045,nora,"Please find my grandfather, Nathan ... he'll know what to do. See if he's around that house over there."
field,lib/field_voice.swf:field_046,GOODBYE,"Please hurry Nathan. Mr. McManus has to take grandfather and I back home. I ... I need my medicine."
field,lib/field_voice.swf:field_048,nathan,"Don't worry, Nora. I'll find your grandfather!"
field,lib/field_voice.swf:field_049,GET KEY,"And tell my grandfather that I found this ..."
field,lib/field_voice.swf:field_051,nathan,"Is this some sort of key?"
field,lib/field_voice.swf:field_052,nora,"I think so. I assume it has something to do with that house my grandfather was trying to get into."
field,lib/field_voice.swf:field_053,nathan,"Okay, I'll look around that house for your grandfather."
field,lib/field_voice.swf:field_054,HAS KEY,"What was I supposed to do with this key part?"
field,lib/field_voice.swf:field_056,nora,"Please give it to my grandfather ... he was trying to find a way into that house."
field,lib/field_voice.swf:field_058,nathan,"It's a fence of barbed wire."
field,lib/field_voice.swf:field_059,nathan,"I've got enough barbed wire."
field,lib/field_voice.swf:field_060,nathan,"Good idea, I may need some barbed wire..."
field,lib/field_voice.swf:field_061,nathan,"But I'll need something to protect my hands to free it."
field,lib/field_voice.swf:field_062,nathan,"A single glove is rather useless."
field,lib/field_voice.swf:field_063,nathan,"I hear gloves are usually used in pairs..."
field,lib/field_voice.swf:field_064,nathan,"Like shoes, you know."
field,lib/field_voice.swf:field_068,nathan,"Who's your grandfather? What's his name?"
field,lib/field_voice.swf:field_069,nora,"I'm not supposed to talk about him, sorry Nathan."
field,lib/field_voice.swf:field_070,nathan,"What is your grandfather doing here?"
field,lib/field_voice.swf:field_071,nora,"He has some business to do around here."
field,lib/field_voice.swf:field_072,nathan,"What kind of business?"
field,lib/field_voice.swf:field_073,nora,"I'm not quite sure."
field,lib/field_voice.swf:field_074,nora,"He doesn't say much about his work... but he did tell me not to talk about him or his work with strangers."
field,lib/field_voice.swf:field_075,nora,"Actually, he told me not to talk to strangers at all."
field,lib/field_voice.swf:field_076,nathan,"But we can talk because I introduced myself, right?"
field,lib/field_voice.swf:field_077,nora,"Right."
field,lib/field_voice.swf:field_078,nathan,"Isn't it kind of boring here?"
field,lib/field_voice.swf:field_079,nora,"I think it's nice ... and I have something to read while I'm waiting."
field,lib/field_voice.swf:field_080,nathan,"What are you reading?"
field,lib/field_voice.swf:field_081,nora,"Mungo Park: ""Travels in the Interior of Africa"". I got it from my grandfather..."
field,lib/field_voice.swf:field_082,nora,"That Mungo Park was a real adventurer."
field,lib/field_voice.swf:field_083,nathan,"What are you reading again?"
field,lib/field_voice.swf:field_084,nora,"Mungo Park: ""Travels in the Interior of Africa""."
field,lib/field_voice.swf:field_085,nathan,"I've learned enough about you, I think."
field,lib/field_voice.swf:field_086,nathan,"Who are you and what are you doing here?"
field,lib/field_voice.swf:field_087,nora,"I'm Nora. I was reading as you might have noticed."
field,lib/field_voice.swf:field_088,nora,"But If you must know: I'm waiting for my grandfather."
field,lib/field_voice.swf:field_090,nathan,"Do you know a Dr. Coppelius?"
field,lib/field_voice.swf:field_091,nora,"Why do you ask?"
field,lib/field_voice.swf:field_092,nathan,"I was sent to tell him that he's in danger."
field,lib/field_voice.swf:field_093,nora,"In danger?"
field,lib/field_voice.swf:field_094,nathan,"Yes. I don't know why, but he's supposed to contact the university immediately."
field,lib/field_voice.swf:field_095,nora,"I wish I could help you... but I've been asked not to talk about him. Sorry."
field,lib/field_voice.swf:field_096,nathan,"So you know him?"
field,lib/field_voice.swf:field_097,nora,"Please, I can't answer that."
field,lib/field_voice.swf:field_098,nathan,"Okay, sorry."
field,lib/field_voice.swf:field_099,nathan,"You know, I can run really fast."
field,lib/field_voice.swf:field_100,nora,"I'm excited to hear that."
field,lib/field_voice.swf:field_101,nathan,"Really?"
field,lib/field_voice.swf:field_102,nathan,"Bye."
field,lib/field_voice.swf:field_103,nathan,"I'm Nathan. Who are you?"
field,lib/field_voice.swf:field_104,coppelius,"Young man, I am someone who knows that you don't belong here... so what are you doing here?"
field,lib/field_voice.swf:field_105,nathan,"I'm searching for a Dr. Coppelius."
field,lib/field_voice.swf:field_106,coppelius,"Oh really? That's quite interesting, I must say."
field,lib/field_voice.swf:field_107,nathan,"Do you know this Coppelius? I was sent to warn him that he may be in grave danger."
field,lib/field_voice.swf:field_108,coppelius,"Of course I know him. He's quite a character..."
field,lib/field_voice.swf:field_109,nathan,"Can you tell me where I could find him?"
field,lib/field_voice.swf:field_110,coppelius,"What you should do right now is to get into that house over there. That would point you in the right direction."
field,lib/field_voice.swf:field_111,nathan,"But the house is locked..."
field,lib/field_voice.swf:field_112,coppelius,"I know there's a three-part key that unlocks it. I've heard that you already have at least one part of it. There's another part under the doormat."
field,lib/field_voice.swf:field_113,nathan,"Are you Nora's grandfather? Is she alright?"
field,lib/field_voice.swf:field_114,coppelius,"Oh yes, I am.  But don't you worry about her, I can assure you that she's in good hands and will be well soon."
field,lib/field_voice.swf:field_115,nathan,"What's your name?"
field,lib/field_voice.swf:field_116,coppelius,"That's none of your business. You should try to get into that house... you might find some more answers in there."
field,lib/field_voice.swf:field_117,nathan,"What's in the house? Why do you want me to get in there?"
field,lib/field_voice.swf:field_118,coppelius,"YOU want to go in there. I'm just telling you it's the right thing to do."
field,lib/field_voice.swf:field_119,nathan,"I have to get going."
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_000,nathan,"Somehow I feel like someone is watching me..."
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_001,coppelius,"What happened? Where's Nora?"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_002,sailor,"I had just brought your granddaughter aboard my ship and was rowing back to the shore, when suddenly a guy with a cape appeared and threw me overboard!"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_003,sailor,"I swam back here ... but that villain stole away with my ship and the girl."
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_004,nathan,"Oh, no!"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_005,sailor,"Hopefully that girl had the good sense to hide herself."
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_006,coppelius,"If Vincent finds out about Nora, then she'll be in grave danger!"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_007,nathan,"We have to follow them."
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_008,sailor,"Aye!"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_009,coppelius,"Vincent, you devil. If you dare to harm Nora, then I swear I'll hunt you to the end of the earth!"
finale_ferry,lib/finale_ferry_voice.swf:finale_ferry_010,nathan,"Nora ... I hope you are alright."
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_000,coppelius,"Very well done, Nathan!"
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_001,coppelius,"Now we have to hurry and get Nora home! I have to adjust her mechanical heart!"
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_002,nathan,"What if Vincent has already found her?"
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_003,coppelius,"Check those binoculars... we may be able to spot her."
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_004,nathan,"Mh ... I can see the pier. And the ship."
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_005,nathan,"Yes ... the sailor just brought Nora aboard the ship. Now he's rowing back to the shore ... to pick you up, I guess."
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_006,nathan,"What's that?!"
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_007,nathan,"Vincent!! Where did he come from? He threw McManus overboard! "
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_008,nathan,"Now he's stealing the sailor's rowboat!"
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_009,nathan,"... Where is Nora?! I can't see her."
finale_lab1,lib/finale_lab1_voice.swf:finale_lab1_010,coppelius,"Oh no ..."
foyer,lib/foyer_voice.swf:foyer_000,nathan,"It's a golden idol."
foyer,lib/foyer_voice.swf:foyer_001,nathan,"This belongs into a museum! I'll take it with me."
foyer,lib/foyer_voice.swf:foyer_002,nathan,"No, wait. I should finish this adventure first."
foyer,lib/foyer_voice.swf:foyer_003,nathan,"Books on philosophy, mostly ethics, some on anatomy and literature theory."
foyer,lib/foyer_voice.swf:foyer_004,nathan,"There are a lot of scientific journals about biology and physics. They smell old, but in a positive way."
foyer,lib/foyer_voice.swf:foyer_005,nathan,"Oh and there's an 'Encyclopedia of Science'. Boring too, I guess."
foyer,lib/foyer_voice.swf:foyer_006,nathan,"If this bookcase holds a secret door, it won't be revealed simply by pushing on it."
foyer,lib/foyer_voice.swf:foyer_007,nathan,"This can't be the correct time ..."
foyer,lib/foyer_voice.swf:foyer_008,nathan,"How can I correct the time if I have no idea what time it is?"
foyer,lib/foyer_voice.swf:foyer_009,nathan,"""Your Own Secret Underground Lab"", ""More about Secret Underground Labs"" & ""How Do I Keep Rodents From Invading My Secret Underground Lab""."
foyer,lib/foyer_voice.swf:foyer_010,nathan,"No wonder these books are down there - they sound REALLY boring."
foyer,lib/foyer_voice.swf:foyer_011,nathan,"""The Inside Matters"". Sounds interesting!"
foyer,lib/foyer_voice.swf:foyer_012,nathan,"Ok, I'll take it."
foyer,lib/foyer_voice.swf:foyer_013,nathan,"They're the metal plates from the socketed bird device."
foyer,lib/foyer_voice.swf:foyer_014,nathan,"It seems that Vincent took them out and simply dropped them here."
foyer,lib/foyer_voice.swf:foyer_015,nathan,"Ok."
foyer,lib/foyer_voice.swf:foyer_016,nathan,"There are two oval-shaped sockets in the base of this statue."
foyer,lib/foyer_voice.swf:foyer_017,nathan,"Hey, there's also an inscription..."
foyer,lib/foyer_voice.swf:foyer_018,nathan,"""Even the spirit of youth and grim death listen to the birds' song. For without words it will teach wisdom. For without key it will open up the path of truth."" Wu Xun."
foyer,lib/foyer_voice.swf:foyer_019,nathan,"It looks like there's something missing here... both sockets are empty."
foyer,lib/foyer_voice.swf:foyer_020,nathan,"I've now filled one socket, but the other is still empty."
foyer,lib/foyer_voice.swf:foyer_021,nathan,"It looks like it's been completely activated."
foyer,lib/foyer_voice.swf:foyer_022,nathan,"Here we go."
foyer,lib/foyer_voice.swf:foyer_023,nathan,"One plate is still missing."
